ID_Jugador;Nombre;Apellido;Nombre_Completo;Nombre_Corto;Edad;Categoria_2025;Valor_Mercado;Nacionalidad;Altura;Pie preferido;Extranjero;Posicion;Posicion S_1;Posicion S_2;goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
;;;;;;;;;;;;;;;0;2;1;28;61;33;69;1;0;90;61;65;962;15;10;2;12;0;0;0;3;0;0;0;0;0;31;0;326;2;0;0;28;64;11;63;4;1;10;1;2;0;1;0;0;0;0;Renzo Garces;Alianza Lima
;;;;;;;;;;;;;;;1;1;0;21;51;4;40;1;0;80;25;49;613;8;8;2;10;0;0;0;6;0;0;0;0;0;48;1;190;19;15;32;17;46;6;26;7;1;6;2;2;17;0;0;0;0;0;Ricardo Lagos;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;0;0;1;50;0;0;33;1;20;14;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Said Peralta;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;2;100;0;0;0;0;100;2;67;32;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Víctor Guzmán;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;1;50;1;100;0;0;66;2;67;450;1;0;0;5;12;4;8;4;0;2;1;2;2;12;0;74;0;0;0;31;46;0;6;1;0;0;0;0;0;0;0;1;0;0;Ángelo Campos;Alianza Lima
;;;;;;;;;;;;;;;0;0;0;12;55;3;27;1;0;85;15;45;557;7;5;0;8;0;0;0;10;0;0;0;0;0;30;0;146;1;3;14;9;45;4;16;4;0;2;0;0;0;0;0;0;0;0;Aldair Perleche;Alianza Universidad
;;;;;;;;;;;;;;;0;1;0;10;63;3;75;1;0;88;13;65;215;6;4;1;5;0;0;0;3;0;0;0;0;0;21;0;127;1;0;0;8;50;1;4;0;0;5;3;1;0;0;0;0;0;0;Alexis Fernández;Alianza Universidad
;;;;;;;;;;;;;;;0;2;0;11;55;6;55;1;0;88;17;55;550;6;3;3;10;0;0;0;9;2;0;0;0;0;55;1;325;4;1;100;15;52;5;4;3;0;3;0;0;0;0;0;0;0;0;Anthony Aoki;Alianza Universidad
;;;;;;;;;;;;;;;0;1;0;12;48;2;67;0;0;89;14;50;549;3;6;1;8;0;0;0;13;0;0;0;0;0;10;0;174;1;0;0;14;54;5;22;5;0;2;1;1;0;0;0;0;0;0;Benjamín Ampuero;Alianza Universidad
;;;;;;;;;;;;;;;0;0;0;32;42;5;31;2;1;89;37;40;963;14;10;4;14;0;0;0;21;2;0;0;0;0;104;1;439;12;3;21;14;50;11;20;19;0;7;2;2;0;0;0;1;0;0;Brayan Guevara;Alianza Universidad
